Created-Date,Tweet,Sentiment
7/21/2021 12:42,جي دل جگر  دم اٿوَ  قرباني سمجهڻ چاھيو ٿا تہ ڊاڪٽر علي شريعتي جي ڪتاب الحج مان ھي باب پڙھي ڏسو. ,
7/21/2021 11:08,بابلا اهي مبارڪ آيتون رڳي ڳجهارتون اٿوَ. هدايت آهن تقوا وارن لاءِ.. شيون سمجهو بابا. باق… ,
7/21/2021 10:44,تو 1200 دے دیا کریں.. اس میں کیا بھیا؟ ,
7/21/2021 10:17,اڃا ڳالهہ ئي ناهي سمجهي اوهان سائين.. گهٽ  گهٽ اوهان جي ڳالهہ مان تہ اهو محسوس ٿيو. ,
7/21/2021 10:05,اهو مان چيو ئي مان سوچڻ  سمجهڻ جي دعوت رکي آهي. تہ ڇا واقعي اسان قربانيءَ جي مام کي سمجهيو آهي؟ ,
7/21/2021 9:46,رک پاڻ وٽ ,
7/21/2021 9:38,نہ.. مغز  منڍي ,
7/21/2021 9:30, بيشناختو پڻ.. ڪو ڌرنگ ناهيس ,
7/21/2021 9:21,اقو.. تون مون ڏي موڪل  ,
7/21/2021 9:20,ورهيہ ٿي ويا آهن مان تہ عيدن تي نوان وڳا پايان ئي ڪينَ.  ,
7/21/2021 9:09,دل ٿي چئي قربانيءَ جي فلسفي تي اسپيس  واڄٽ وڄايان.  پاڪ ڪتاب مان ثابت ڪندي. پر سوال آ سمجهڻ جي قرباني ڪير ڪري سگه… ,
7/20/2021 18:03,لک قرب منھنجا سائين..  ,
7/20/2021 17:40,قرب پيارا  ,
7/20/2021 17:39,قرب جيلو ️ ,
7/20/2021 17:38,سونھن سانئڻ.. لک لک قرب  ,
7/20/2021 17:09,باٽني. ٻوٽن جي ڄاڻ ,
7/20/2021 17:06,ڪرڙي اک.. هاهاها واھ جو ٻول ٻڌايئي چارڻ پيارا.. ️ قرب ,
7/20/2021 14:24,سئو سيڪڙو سچ ,
7/20/2021 14:22,ير وڏا لاھ آهيو..  ,
7/20/2021 14:17,هڪ جڳھ بہ لکيل مليو ,
7/20/2021 14:14,پيارا تُز اڪڙ جي نالي جي ڪل ڪانهي پر اها جانجهي يعني جنتر جي ئي ڪٽنب جي سبزي آ. ان جو نباتاتي نالو آهي. ,
7/20/2021 14:09,ق کي ڊگهي پريس سان زبر ,
7/20/2021 6:36,پيارا لاٽ  لھٽ بڻياد وجهندا ٻول جا. ,
7/20/2021 6:35,مھرباني سائين سيکارڻ جي. اوهان جي نيت ڀلي آهي تہ سڌار ٿئي. باقي سائين مان ٻج ئي لکيو آهي. ٻج لفظ م… ,
7/20/2021 6:29,انگريزي زائگوٽ معنا سنڌي ٻول يوگ جو نڪتل. ,
7/19/2021 19:59,اتيت سندر ,
7/19/2021 19:47,لیکن اور بنی نوع کا کباڑہ بھی اسی سائنس کے طفیل ٹیکنالوجی نے ہی کیا ہے. دیکھیں اوتار مووی ,
7/19/2021 19:39,"هتي لفظ صحافيءَ مان ""ح"" ڪڍي ڇڏيو. باقي جيڪو بچي اهو هي هوندا جن وٽ مڱڻھار ويو هئو.  ",
7/19/2021 19:30,واڌايون.. وکون قائم  دائم ,
7/19/2021 19:29,گروپ نفرت ,
7/19/2021 19:23,بابا بسم الله.. ضرور ,
7/19/2021 19:22,میری اہلیہ کوئی اور ہے  ,
7/19/2021 19:21,جڏهن حڪم ڪريو ,
7/19/2021 19:04,سائين اهو آهي وڄ. وڄري ,
7/19/2021 19:00,تہ بلڪل تُز جواب آهي ,
7/19/2021 18:48,ٿورو مٿو هڻو... ايتري تڪڙي ڇو؟ ,
7/19/2021 18:46,هر بلا دوررررر ,
7/19/2021 18:44,بجلي؟ ابا تہ گرڊ اسٽيشن آ..  ,
7/19/2021 18:10,لفظ بجليءَ جو جيڪو ٻج سنڌي لفظ ٻڌائي... مون پاران ان جي دعوت انعام ... ,
7/19/2021 17:57,سئو سيڪڙو مھا ظالم... قاتل..  ,
7/19/2021 7:26,بابا، جڏھن ڀٽائيپيڊيا مڪمل طور تيار ٿي چڪي ھوندي تڏھن بلڪل ان جون ائپس ٺھنديون. فلحال تہ جيئن ٽُڪ ت… ,
7/19/2021 5:58,ادا سائين، خدا پاڪ اوھان کي سدا سکيو رکي. باقي مھرباني ڪري ايڏا ججمينٽل نہ ٿيندا ڪريو. اوھان ڪي نبي ولي ي… ,
7/19/2021 4:08,ايڪُ قَصَرُ، دَرَ لَکَ، ڪوڙِين ڪَڻِسِ ڳِڙکِيُون، ,
7/18/2021 18:31,ڊگها ساھَ کڻاءِ، تہ جهجهو جيان مان. ,
7/18/2021 5:33,سنڌ جا 52 اڳواڻ سياسي گڏ ٿيا پر بحريا ٽائون جي ,
7/17/2021 15:17,ھَڏِ نہ وَڻي ھاڻِ مُون، ويڄَنِ جِي وِصالَ، ,
7/17/2021 15:15,ترجمي جو ھڪ نمونو ڏسندئو؟ ,
7/17/2021 13:15,ابا پاڻ ,
